Number of nodes 5890 
   408 :  2.3077897e+01  3.6479018e+01 
   409 :  2.3056553e+01  3.6621691e+01 
   410 :  2.3086909e+01  3.6778602e+01 
   411 :  2.3017443e+01  3.6929868e+01 
   412 :  2.2972257e+01  3.7087008e+01 
   413 :  2.2878388e+01  3.7230295e+01 
   414 :  2.2788158e+01  3.7375014e+01 
   415 :  2.2751042e+01  3.7527411e+01 
   416 :  2.2952351e+01  3.7509001e+01 
   417 :  2.3068389e+01  3.7389237e+01 
   418 :  2.3215646e+01  3.7329138e+01 
   419 :  2.3387730e+01  3.7411476e+01 
   420 :  2.3422483e+01  3.7543048e+01 
   421 :  2.3247561e+01  3.7575828e+01 
   422 :  2.3178099e+01  3.7722662e+01 
   423 :  2.3078165e+01  3.7852687e+01 
   424 :  2.3161142e+01  3.7937293e+01 
   425 :  2.3355961e+01  3.7984564e+01 
   426 :  2.3553592e+01  3.7988684e+01 
   427 :  2.3716764e+01  3.7891953e+01 
   428 :  2.3864398e+01  3.7783472e+01 
   429 :  2.4006595e+01  3.7670894e+01 
   430 :  2.4058229e+01  3.7813334e+01 
   431 :  2.4025524e+01  3.7972979e+01 
   432 :  2.4023607e+01  3.8128915e+01 
   433 :  2.3966324e+01  3.8264216e+01 
   434 :  2.3778338e+01  3.8326384e+01 
   435 :  2.3596372e+01  3.8399542e+01 
   436 :  2.3431365e+01  3.8496818e+01 
   437 :  2.3310002e+01  3.8619961e+01 
   438 :  2.3125129e+01  3.8660389e+01 
   439 :  2.2962525e+01  3.8749682e+01 
   440 :  2.2766342e+01  3.8802415e+01 
   441 :  2.2736112e+01  3.8922512e+01 
   442 :  2.2879287e+01  3.9039898e+01 
   443 :  2.2887961e+01  3.9179805e+01 
   444 :  2.2937295e+01  3.9292384e+01 
   445 :  2.3129687e+01  3.9268521e+01 
   446 :  2.3233047e+01  3.9177173e+01 
   447 :  2.3268864e+01  3.9313372e+01 
   448 :  2.3139147e+01  3.9440224e+01 
   449 :  2.2992016e+01  3.9554250e+01 
   450 :  2.2889574e+01  3.9690901e+01 
   451 :  2.2797744e+01  3.9833833e+01 
   452 :  2.2672607e+01  3.9963132e+01 
   453 :  2.2570113e+01  4.0102681e+01 
   454 :  2.2598221e+01  4.0260835e+01 
   455 :  2.2632183e+01  4.0415048e+01 
   456 :  2.2723610e+01  4.0546083e+01 
   457 :  2.2911230e+01  4.0591914e+01 
   458 :  2.2880107e+01  4.0452203e+01 
   459 :  2.3026080e+01  4.0339403e+01 
   460 :  2.3212642e+01  4.0268264e+01 
   461 :  2.3424425e+01  4.0265742e+01 
   462 :  2.3615224e+01  4.0197991e+01 
   463 :  2.3774386e+01  4.0093277e+01 
   464 :  2.3932002e+01  3.9997437e+01 
   465 :  2.3952084e+01  4.0116842e+01 
   466 :  2.3796523e+01  4.0226358e+01 
   467 :  2.3821511e+01  4.0333814e+01 
   468 :  2.4028190e+01  4.0301132e+01 
   469 :  2.4210578e+01  4.0222924e+01 
   470 :  2.4336943e+01  4.0188539e+01 
   471 :  2.4223706e+01  4.0320963e+01 
   472 :  2.4031899e+01  4.0387852e+01 
   473 :  2.3871786e+01  4.0478332e+01 
   474 :  2.3771329e+01  4.0608532e+01 
   475 :  2.3751564e+01  4.0750183e+01 
   476 :  2.3947053e+01  4.0752415e+01 
   477 :  2.4152031e+01  4.0749374e+01 
   478 :  2.4320430e+01  4.0846046e+01 
   479 :  2.4488270e+01  4.0931799e+01 
   480 :  2.4687129e+01  4.0876176e+01 
   481 :  2.4889472e+01  4.0896456e+01 
   482 :  2.5060069e+01  4.0992872e+01 
   483 :  2.5254287e+01  4.0941489e+01 
   484 :  2.5457416e+01  4.0891877e+01 
   485 :  2.5666531e+01  4.0857948e+01 
   486 :  2.5878969e+01  4.0840054e+01 
   487 :  2.6065824e+01  4.0768869e+01 
   488 :  2.6133590e+01  4.0624150e+01 
   489 :  2.6341049e+01  4.0598873e+01 
   490 :  2.6551672e+01  4.0623240e+01 
   491 :  2.6761337e+01  4.0621446e+01 
   492 :  2.6670620e+01  4.0524369e+01 
   493 :  2.6483743e+01  4.0447772e+01 
   494 :  2.6303871e+01  4.0361917e+01 
   495 :  2.6252999e+01  4.0210285e+01 
